Submission ID,Respondent ID,Submitted at,Which of the following applies to you?,"When you encounter a new food at a restaurant, a grocery store, or someone's home, what's the hardest part of figuring out if it's safe?",What do you usually do to check if a food is safe for you?,Has your usual approach ever failed you? Meaning you checked and still had a reaction or a problem? What happened?,"If you could describe your ideal way to quickly check whether a food is safe, what would it look like?"
Z9N7ovz,RGVxXZJ,2026-05-26 3:16:19,I manage another dietary restriction,"There is no menu section dedicated to said restriction, example: some menus will have a ""plant based"" section while others just list veggie/vegan item right between 2 meat dishes. The worst part however, is when employees/workers themselves don't know what the safe menu options are or don't know what a certain dietary restriction is, example is suggesting eggs when someone says vegan.","Google it, Ask the staff or whoever made it","The most reliable option is I asked an employee if a certain ingredient is in the dish then I quickly examine the dish, for example I'll quickly poke or slice a patty on a veggie burger to see if the inside is consistent with other veggie patties.",The menu explicitly saying all the ingredients in a dish
Ardg2oe,b569V4Z,2026-05-26 3:28:50,Someone close to me does (not me personally),The food quality,"Ask the staff or whoever made it, Google it",,Ai
OQz2XDg,0QD7rbj,2026-05-26 3:29:11,I manage lactose intolerance,"I rarely try new meals and barely eat in restaurants, except with a friend group, in which case we'd already have a meal in mind.","Ask the staff or whoever made it, Avoid anything I'm uncertain about",No,"Asking the cook, and searching online."
Nq6jADO,RGVdx2v,2026-05-26 4:07:42,I manage another dietary restriction,Making sure it is within my dietary requirements without offending anyone,"Read the label carefully, Google it",It just gets overwhelming to keep checking,Take a pic and for it to tell me if it's good or not
LDbepNp,PdGDeYB,2026-05-26 8:19:21,I manage another dietary restriction,Determining whether there are byproducts in the ingredients list that I might not recognize,"Read the label carefully, Use an app, Ask the staff or whoever made it, Google it","I pretty recently bought a food similar to one I'd had before, but without an ingredient list. The previous time I ate the food, it was vegetarian, but this one was not. I didn't realize until I'd eaten it, but I avoid pork out of personal preference, not allergy, so I just gave the rest to my spouse once I realized.",Halal markings are really convenient when they're on things; I love being able to tell at a glance that a food is safe for me to eat
rD6zVjo,A7jpGKB,2026-05-26 18:16:20,I manage another dietary restriction,Dealing with the other person's reaction and the internal feeling of not being included,Ask the staff or whoever made it,"Yes, but mine avoidance is not an allergy or anything, I just avoid meat and dairy, so I accepted it and moved on","A virtual label hovering over it to say what's in it or if it has a known food group, such as 'contains meat'"
LDbQ19z,lbM6qpB,2026-05-26 20:47:56,"I manage a food allergy (e.g. nuts, shellfish, gluten)","Only issue I've had in grocery stores is language and format on packaging. For restaurants or people's homes, it can be hard to figure out if there are any nutrition/ingredient labels for the food. In higher end restaurants, the chef will come speak with you either directly or indirectly. For homemade things or smaller restaurants, people without much experience with this generally don't think to keep labels for ingredients in dishes they themselves make or don't realize cross-contamination can occur even if the allergen isn't directly in the dish.","Read the label carefully, Ask the staff or whoever made it, Avoid anything I'm uncertain about, Google it",I have had it before where I asked at the restaurant and still ended up having a mild reaction after getting home.,Checking the ingredient label myself. I don't really trust other people to just look at it for me and tell me it's good.
Gez2dqp,44pK8qO,2026-05-26 21:37:58,I manage another dietary restriction,"I pretty much know what kind of foods set me off so I either avoid them when it's polite to, or take them anyway.","Read the label carefully, Avoid anything I'm uncertain about, Google it","Yes. It turned out that I had more than one dietary restriction. So it's not exactly that the approach failed, but I still suffered because there was more that I was unable to eat safely.",Google search and reading the label.
Arl2Vro,b56kLOZ,2026-05-28 7:09:27,I manage another dietary restriction,Searching through ingredients list carefully enough,Read the label carefully,No,Have large stickers saying 'x free' or 'no y'
yXl4eVB,QKOryOG,2026-05-28 9:07:27,I manage another dietary restriction,Descriptions may not adequately describe all the ingredients used,"Google it, Avoid anything I'm uncertain about, Read the label carefully",Sometimes. Just remove or ate around it best I can.,Menu items included full ingredient lists
2j4KLkg,68px2oN,2026-05-28 12:09:57,I manage acid reflux or GERD,Asking the one who prepared the food too many questions.,Ask the staff or whoever made it,"Yes, because they left out some details about the food.",Asking the chef of the food. Just a bunch of questions to understand the preparation.
1WrVgGL,b56L91L,2026-05-28 16:10:10,I manage another dietary restriction,Having to ask about this and be specific about the risk of gluten or cross contamination. Also the fear that there may be a mistake and I eat gluten mistakenly.,"Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about","Yes. I had the symptoms and felt bad: bloated, cramps, stomach pain, headache, and more.",An affordable tool that can analyze if there is gluten present or a dog trained to do this in a reliable way
Z9d6JEa,7RpopVZ,2026-05-28 18:05:55,Someone close to me does (not me personally),"Genuinely just checking for protein vs calories for me. Trying to eat healthier. But for the people with dietary restrictions they have to check what the food contains and if it actually tastes decent",Use an app,,Take pictures of the label run it through AI check Reddit too
KpMlLaX,eqYLvLQ,2026-05-28 18:12:33,I manage acid reflux or GERD,"The labels aren't descriptive enough, and the ingredients use a lot of technical terms",Avoid anything I'm uncertain about,Yes it has and I got a reaction. Good thing I had my TUMS with me,"Scan a code from the label on the food and doing some type of survey that tests whether it's good for you. Or it basically saying: if you have GERD don't consume, if you're lactose intolerant don't consume"
peLBWgV,44pLO2b,2026-05-28 18:19:22,I manage lactose intolerance,"How I can eat dairy. Sometimes if it's cooked I can be fine. Also making sure lactose free doesn't still cause dietary problems.",Use an app,Nope,Google then Chat GPT/LLM
ArlLq9N,KYaLGAA,2026-05-28 18:22:40,Someone close to me does (not me personally),I read labels fairly easily. Not a problem.,Read the label carefully,No labels have been very informative and I have no allergies.,Reading the label to see how much sugar or carbs are in it.
peLBvXJ,1ApMyxg,2026-05-28 18:56:25,Someone close to me does (not me personally),It depends on the trust I have for the people or store.,Avoid anything I'm uncertain about,No. I mostly eat what I'm familiar with.,Look at the ingredients and what's in it. If I don't like any of the ingredients I won't eat it
LDdWqdz,xXl28XE,2026-05-28 19:26:53,I manage lactose intolerance,Figuring out the whole dietary content of the new food,"Read the label carefully, Google it",Usually without my notice I overlook the milk content in the food,"Look at the labeling, google the content that I don't know, then ask customer service things I don't understand"
kbY76Xj,81RjoEz,2026-05-29 20:05:51,I manage another dietary restriction,"I have celiacs and am sensitive to cross contact. Many restaurants have food which is labeled gluten free but is not actually safe for me to eat. I have to decide how much I trust the waiter, read their body language to try to tell whether they know what they're talking about, and whether they are taking me seriously or not. At grocery stores, labeling is inconsistent and incomplete. In the US where I live, food labels include 'wheat' in allergen lists but don't include 'gluten', so products which contain rye or barley won't have any warning that they contain gluten. I've seen products labeled (and certified) as gluten free which also have the warning 'may contain wheat'. It's an FDA or USDA labeling problem IMO they need to fix this.","Google it, Read the label carefully, Ask the staff or whoever made it, Use an app, Avoid anything I'm uncertain about","Yes, frequently, due to cross contact. I have gone to restaurants that are largely gluten free after researching them in advance, ordered a gluten free menu item, confirmed it's gluten free with the staff, noted that it's a severe gluten allergy and sensitive to cross contact - and then still gotten sick. This is how celiacs works. A lot of celiacs just never eat at restaurants or other people's homes.","Clear gluten free labeling on EVERYTHING that's gf. Clear 'contains gluten' labeling on EVERYTHING that contains gluten. Clear 'may contain gluten / made on shared equipment' labeling."
2j42qEV,5BpaDW6,2026-06-02 22:11:20,"I manage a food allergy (e.g. nuts, shellfish, gluten)","No list of ingredients, servers without information or with misinformation",Read the label carefully,"Yes, I have missed things on labels and been miserable because I couldn't eat something I wanted, or because I had an allergic reaction",Asking someone knowledgeable
